VG	1/09	virus
VG	1/09	viruset
AP	1/16	virusfamilien
DB	1/21	familien
AP	1/21	virusutbruddet
DB	1/21	virusvaksiner
VG	1/22	virusepidemier
DB	1/22	virussmitte
DB	1/24	smitte
DB	1/24	sykehuset
VG	1/24	utbruddet
VG	1/25	epidemien
AP	1/25	pasienter
VG	1/25	smittede
VG	1/25	smitten
DN	1/27	virusutbrudd
DB	1/28	fast
VG	1/28	virusets
DN	1/30	virusen
VG	1/30	virusfast
AA	1/31	merket
VG	1/31	rammede
VG	1/31	trolling
AP	1/31	virusene
VG	1/31	virussmittede
VG	2/01	spredning
VG	2/02	bilder
VG	2/02	dødsfall
VG	2/02	dødsfallet
VG	2/02	gjennombrudd
VG	2/02	smittetilfeller
DB	2/02	tilfelle
VG	2/02	virusinfeksjon
VG	2/02	virussymptomer
VG	2/02	virusvideoer
VG	2/02	vitsene
VG	2/03	sykehus
VG	2/06	varsler
VG	2/06	virusepidemien
DB	2/06	virussykdom2
VG	2/08	varsleren
VG	2/10	kritikk
DN	2/10	virussmell
DB	2/10	virusspøk
DB	2/11	virussmittet
VG	2/12	smittet
VG	2/12	utløst
AP	2/13	debatten
DA	2/14	fritt
DB	2/14	karantene
VG	2/16	frykten
DN	2/18	virusadvarsel
DN	2/18	virustap
DB	2/19	infisert
DN	2/19	optimisme
DB	2/20	virusdødsfall
VG	2/21	krise
VG	2/21	prøver
DN	2/21	tap
AA	2/21	test
DB	2/24	mysterium
DN	2/24	sikrer
DN	2/24	tilfellet
DN	2/24	utsatt
VG	2/25	avstengt
SA	2/25	pasientene
VG	2/25	post
VG	2/25	situasjonen
DN	2/25	stopp
SA	2/25	tester
VG	2/25	virusfaste
VG	2/25	viruskarantene
AP	2/26	frykt
DN	2/26	nedturen
DB	2/26	syke
VG	2/26	tiltak
DB	2/26	tsar
SA	2/26	utbrudd
VG	2/26	viruspasient
FV	2/26	virusscenarioet
AA	2/26	virustester
NL	2/26	virustilfelle
VG	2/26	virustrusselen
VG	2/27	beredskap
VG	2/27	damene
DN	2/27	effekten
BT	2/27	epidemi
VG	2/27	henvendelser
VG	2/27	koret
VG	2/27	mistanke
DB	2/27	pasient
VG	2/27	spådommer
BT	2/27	spørsmål
DB	2/27	sykdom
DB	2/27	testes
SA	2/27	testet
BT	2/27	testing
VG	2/27	tilfeller
DN	2/27	utstyr
AA	2/27	virusepidemi
BT	2/27	virushar
VG	2/27	virusområdet
DA	2/27	virussykdommen
NL	2/28	dekning
VG	2/28	fare
VG	2/28	infeksjonen
BT	2/28	informasjon
DB	2/28	kritikken
SA	2/28	legevakt
DB	2/28	permittere
NL	2/28	plan
DN	2/28	påvirket
BT	2/28	rom
DB	2/28	råd
BT	2/28	samtaler
DB	2/28	sending
DB	2/28	sjekk
DN	2/28	syk
VG	2/28	telefon
VG	2/28	telefonstorm
DB	2/28	tsaren
VG	2/28	vaksine
AP	2/28	vaksinen
VG	2/28	virusbeskyttelse
SA	2/28	virustesten
DN	2/29	berørte
VG	2/29	prøve
DB	2/29	prøvesvar
VG	2/29	studio
AA	2/29	trusselen
BT	2/29	virusrammede
AA	2/29	virusrutiner
VG	3/01	karantenen
DN	3/01	knekk
DA	3/01	kobling
SA	3/01	retningslinjer
DB	3/01	smittete
NL	3/01	tilfellene
DA	3/01	utviklingen
AA	3/02	angst
AA	3/02	angsten
DA	3/02	beskyttelse
AP	3/02	dager
DN	3/02	effekt
VG	3/02	hamstring
BT	3/02	infiserte
AA	3/02	inspektører
AP	3/02	krisen
AA	3/02	land
BT	3/02	møte
VG	3/02	nyheter
DN	3/02	patent
VG	3/02	regler
AA	3/02	stoff
DB	3/02	svindel
DB	3/02	svindlere
BT	3/02	telefonen
DN	3/02	viruseffekten
DB	3/02	viruskontrollører
DN	3/02	virussituasjonen
AP	3/03	behandling
NL	3/03	bekymrede
VG	3/03	bekymret
AA	3/03	fase
DN	3/03	grep
SA	3/03	områder
VG	3/03	problem
VG	3/03	problemet
NL	3/03	pågangen
VG	3/03	smittesituasjonen
NL	3/03	testene
DB	3/03	tider
VG	3/03	trøbbel
DA	3/03	viruseffekt
DN	3/03	viruspanikken
AA	3/03	virussykdom
SA	3/03	virustest
DB	3/03	virusykdom
DB	3/04	alarm
DN	3/04	fremtid
DA	3/04	influenser
DN	3/04	melding
SA	3/04	nummer
VG	3/04	permitteringer
AA	3/04	prøvene
DA	3/04	saker
DB	3/04	smitterisiko
SA	3/04	smittetilfelle
AA	3/04	smittetiltak
VG	3/04	spredningen
DN	3/04	trøblete
DN	3/04	uroen
VG	3/04	vasken
DB	3/04	virusprøver
VG	3/05	avlyst
VG	3/05	containere
AA	3/05	kamp
VG	3/05	karante
VG	3/05	klarsignal
DN	3/05	måned
DN	3/05	relatert
DN	3/05	samtalen
AA	3/05	sikres
SA	3/05	smittede/mistenkte
SA	3/05	smittedes
SA	3/05	sms
DA	3/05	stanser
NL	3/05	stengt
VG	3/05	testen
BT	3/05	testingen
SA	3/05	virustelt
DB	3/06	avlyser
DB	3/06	beskjeden
DN	3/06	effektene
DA	3/06	gruppe
AA	3/06	historien
VG	3/06	hjelp
DN	3/06	konsekvenser
NL	3/06	nekt
BT	3/06	nytt
VG	3/06	panikk
DN	3/06	perioden
VG	3/06	rammet
AA	3/06	risikoen
VG	3/06	rådene
AA	3/06	saken
DN	3/06	sjokket
DB	3/06	svar
AA	3/06	virusfrykt
DB	3/06	vits
SA	3/07	brems
DB	3/07	grepene
AA	3/07	hotell
VG	3/07	håndtering
AA	3/07	isolasjon
AA	3/07	kansellerte
DA	3/07	konferanse
DA	3/07	kontroll
VG	3/07	pandemien
AP	3/07	panikken
AP	3/07	positive
BT	3/07	reglene
AA	3/07	restriksjoner
BT	3/07	status
AP	3/07	stenging
DB	3/07	virustider
AP	3/08	eksponering
AA	3/08	faren
BT	3/08	faste
VG	3/08	hensyn
VG	3/08	mareritt
AA	3/08	prøven
AA	3/08	relaterte
VG	3/08	smitt
DB	3/08	trend
BT	3/08	vedtak
VG	3/08	virusalarmen
AA	3/09	alarmen
BT	3/09	anbefalingene
DB	3/09	helvete
SA	3/09	jakt
DB	3/09	knipe
DA	3/09	krisepakke
AP	3/09	kupp
DB	3/09	opprør
VG	3/09	pasienten
DB	3/09	permittert
DB	3/09	pressekonferanse
SA	3/09	telefoner
VG	3/09	uvær
AA	3/09	virusfrykten
SA	3/09	viruspandemien
VG	3/10	analyser
SA	3/10	avbestillinger
DA	3/10	avlysninger
DA	3/10	delen
VG	3/10	dugnad
VG	3/10	dødsrate
VG	3/10	dødsraten
AA	3/10	eksponeringen
DB	3/10	eksponert
AA	3/10	endringer
AA	3/10	filmen
AP	3/10	fravær
DB	3/10	håndteringen
DA	3/10	innleggelser
VG	3/10	jobbproblemer
NL	3/10	knekken
AP	3/10	knipen
FV	3/10	konkurser
DB	3/10	krisa
DA	3/10	linja
VG	3/10	politikk
VG	3/10	praksis
AP	3/10	prøvetaking
AP	3/10	skandale
DN	3/10	smell
SA	3/10	smitta
VG	3/10	smittefaren
AA	3/10	spøkelset
VG	3/10	studie
DN	3/10	sårbart
DN	3/10	tiltakene
VG	3/10	trøbbelet
DN	3/10	varsel
BT	3/10	vedtakene
AA	3/10	villrede
VG	3/10	virushåndtering
VG	3/10	virusprøve
VG	3/11	avlysning
AA	3/11	beredskapen
DB	3/11	blemme
BT	3/11	forvirring
VG	3/11	infeksjon
VG	3/11	kaos
AA	3/11	konsekvensene
DA	3/11	linjen
DB	3/11	masker
AA	3/11	meldinger
VG	3/11	planene
DN	3/11	problemene
DB	3/11	produkter
SA	3/11	smittefare
VG	3/11	smitteområder
VG	3/11	spesial
DN	3/11	splitt
BT	3/11	symptomer
DB	3/11	telefonene
DA	3/11	telt
DN	3/11	trenden
VG	3/11	utsatte
AA	3/12	anslag
DB	3/12	arbeidet
DB	3/12	bakrusen
NL	3/12	bekymringen
AA	3/12	forbehold
VG	3/12	fri
DA	3/12	frie
DA	3/12	handlingen
AP	3/12	isolat
DN	3/12	jus
VG	3/12	klausul
BT	3/12	klinikk
BT	3/12	klinikken
VG	3/12	konsekvens
DB	3/12	kontor
DA	3/12	krav
DA	3/12	kø
DB	3/12	liknende
DA	3/12	linjene
DB	3/12	lock
NL	3/12	mottak
NL	3/12	mottaket
AP	3/12	pasiener
BT	3/12	podden
VG	3/12	positivt
VG	3/12	problemer
DA	3/12	psyken
DN	3/12	pågang
DA	3/12	senter
DA	3/12	senteret
DB	3/12	smittesenteret
DA	3/12	stenger
VG	3/12	stengte
DA	3/12	telefonoperatørene
DB	3/12	tiden
FV	3/12	utbredelse
SA	3/12	utsettelse
DB	3/12	valg
BT	3/12	vern
NL	3/12	virusforløpet
VG	3/12	viruskrisen
VG	3/12	viruspasienter
AA	3/12	virussituasjon
DA	3/12	virustelefon
DB	3/12	virustoppen
DB	3/13	asyl
VG	3/13	avlysningene
AP	3/13	bidrag
DN	3/13	boom
AP	3/13	diagnostikk
DB	3/13	fester
VG	3/13	forslag
BT	3/13	herjet
SA	3/13	hjelpen
VG	3/13	isolert
AA	3/13	kaoset
AA	3/13	knappen
AP	3/13	konto
VG	3/13	kontraster
NL	3/13	kortet
DN	3/13	kraft
DA	3/13	løft
DB	3/13	medisiner
DA	3/13	moralen
DB	3/13	musikal
DB	3/13	musikalen
AA	3/13	nedtur
AP	3/13	news
VG	3/13	norge
VG	3/13	overkjøre
AP	3/13	pakke
DA	3/13	pandemi
SA	3/13	robot
AP	3/13	rutinene
DA	3/13	sakene
VG	3/13	situasjon
FV	3/13	smittende
SA	3/13	stansede
DB	3/13	stanset
AP	3/13	strandede
AA	3/13	teste
DA	3/13	tidene
AP	3/13	unntakstilstand
SA	3/13	utsettelser
VG	3/13	virkningene
DB	3/13	virusinfeksjoner
DB	3/13	virussyke
AP	3/13	virustyper
NL	3/13	øvelse
VG	3/14	dvale
DB	3/14	dødsfallene
DB	3/14	greia
DN	3/14	hamstringen
VG	3/14	handling
SA	3/14	hjelpe
