VG	1/09	virus
AP	1/16	virusfamilie
DB	1/21	familie
AP	1/21	virusutbrudd
DB	1/21	virusvaksine
VG	1/22	virusepidemi
DB	1/22	virussmitte
DB	1/24	smitte
DB	1/24	sykehus
VG	1/24	utbrudd
VG	1/25	epidemi
AP	1/25	pasient
DB	1/28	fast
DN	1/30	virusen
VG	1/30	virusfast
AA	1/31	merke
VG	1/31	ramme
VG	1/31	trolling
VG	2/01	spredning
VG	2/02	bilde
VG	2/02	dødsfall
VG	2/02	gjennombrudd
VG	2/02	smittetilfelle
DB	2/02	tilfelle
VG	2/02	virusinfeksjon
VG	2/02	virussymptom
VG	2/02	virusvideo
VG	2/02	vits
VG	2/06	varsle
VG	2/08	varsler
VG	2/10	kritikk
DN	2/10	virussmell
DB	2/10	virusspøk
VG	2/12	utløse
AP	2/13	debatt
DA	2/14	fri
DB	2/14	karantene
VG	2/16	frykt
DN	2/18	virusadvarsel
DN	2/18	virustap
DB	2/19	infisere
DN	2/19	optimisme
DB	2/20	virusdødsfall
VG	2/21	krise
VG	2/21	prøve
DN	2/21	tap
AA	2/21	test
DB	2/24	mysterium
DN	2/24	sikre
DN	2/24	utsette
VG	2/25	avstenge
VG	2/25	post
VG	2/25	situasjon
DN	2/25	stopp
SA	2/25	tester
VG	2/25	virusfase
VG	2/25	viruskarante
DN	2/26	nedtur
DB	2/26	syk
VG	2/26	tiltak
DB	2/26	tsar
VG	2/26	viruspasient
FV	2/26	virusscenarioet
AA	2/26	virusteste
NL	2/26	virustilfelle
VG	2/26	virustrusselen
VG	2/27	beredskap
VG	2/27	dame
DN	2/27	effekt
VG	2/27	henvendelse
VG	2/27	kor
VG	2/27	mistanke
VG	2/27	spådom
BT	2/27	spørsmål
DB	2/27	sykdom
SA	2/27	teste
BT	2/27	testing
DN	2/27	utstyr
BT	2/27	virushar
VG	2/27	virusområd
DA	2/27	virussykdom
NL	2/28	dekning
VG	2/28	fare
VG	2/28	infeksjon
BT	2/28	informasjon
SA	2/28	legevakt
DB	2/28	permittere
NL	2/28	plan
DN	2/28	påvirke
BT	2/28	rom
DB	2/28	råd
BT	2/28	samtale
DB	2/28	sending
DB	2/28	sjekke
VG	2/28	telefon
VG	2/28	telefonstorm
VG	2/28	vaksine
VG	2/28	virusbeskyttelse
DN	2/29	berøre
DB	2/29	prøvesvar
VG	2/29	studio
AA	2/29	trussel
BT	2/29	virusramme
AA	2/29	virusrutine
DN	3/01	knekk
DA	3/01	kobling
SA	3/01	retningslinje
DA	3/01	utvikling
AA	3/02	angst
DA	3/02	beskyttelse
AP	3/02	dag
VG	3/02	hamstring
AA	3/02	inspektør
AA	3/02	land
BT	3/02	møte
VG	3/02	nyhet
DN	3/02	patent
VG	3/02	regel
AA	3/02	stoff
DB	3/02	svindel
DB	3/02	svindler
DN	3/02	viruseffekt
DB	3/02	viruskontrolløre
DN	3/02	virussituasjon
AP	3/03	behandling
VG	3/03	bekymre
NL	3/03	bekymrede
AA	3/03	fase
DN	3/03	gripe
SA	3/03	område
VG	3/03	problem
NL	3/03	pågang
VG	3/03	smittesituasjon
DB	3/03	tid
VG	3/03	trøbbel
DN	3/03	viruspanikken
SA	3/03	virustest
DB	3/03	virusykdom
DB	3/04	alarm
DN	3/04	fremtid
DA	3/04	influenser
DN	3/04	melding
SA	3/04	nummer
VG	3/04	permittering
DA	3/04	sak
DB	3/04	smitterisiko
AA	3/04	smittetiltak
DN	3/04	trøblete
DN	3/04	uro
VG	3/04	vask
DB	3/04	virusprøve
VG	3/05	avlyse
VG	3/05	container
AA	3/05	kamp
VG	3/05	karane
VG	3/05	klarsignal
DN	3/05	måned
DN	3/05	relatere
SA	3/05	smittede/mistenke
SA	3/05	sms
DA	3/05	stanse
NL	3/05	stenge
SA	3/05	virustelt
DB	3/06	beskjeden
DA	3/06	gruppe
AA	3/06	historie
VG	3/06	hjelp
DN	3/06	konsekvens
NL	3/06	nekte
BT	3/06	nytt
VG	3/06	panikk
DN	3/06	periode
AA	3/06	risiko
DN	3/06	sjokk
DB	3/06	svar
AA	3/06	virusfrykt
SA	3/07	brems
DB	3/07	grep
AA	3/07	hotell
VG	3/07	håndtering
AA	3/07	isolasjon
AA	3/07	kansellere
DA	3/07	konferanse
DA	3/07	kontroll
VG	3/07	pandemi
AP	3/07	positiv
AA	3/07	restriksjon
BT	3/07	status
AP	3/07	stenging
DB	3/07	virustide
AP	3/08	eksponering
VG	3/08	hensyn
VG	3/08	mareritt
DB	3/08	trend
BT	3/08	vedtak
VG	3/08	virusalarme
BT	3/09	anbefaling
DB	3/09	helvete
SA	3/09	jakt
DB	3/09	knipe
DA	3/09	krisepakke
AP	3/09	kupp
DB	3/09	opprør
DB	3/09	pressekonferanse
VG	3/09	uvær
SA	3/09	viruspandemi
VG	3/10	analyse
SA	3/10	avbestilling
DA	3/10	avlysning
DA	3/10	del
VG	3/10	dugnad
VG	3/10	dødsrate
DB	3/10	eksponere
AA	3/10	endring
AA	3/10	film
AP	3/10	fravær
DA	3/10	innleggelse
VG	3/10	jobbprobleme
NL	3/10	knekken
FV	3/10	konkurs
DA	3/10	linje
VG	3/10	politikk
VG	3/10	praksis
AP	3/10	prøvetaking
AP	3/10	skandale
DN	3/10	smell
VG	3/10	smittefare
AA	3/10	spøkelse
VG	3/10	studie
DN	3/10	sårbar
VG	3/10	trøbbele
DN	3/10	varsel
AA	3/10	villrede
VG	3/10	virushåndtering
DB	3/11	blemme
BT	3/11	forvirring
VG	3/11	kaos
DB	3/11	maske
DB	3/11	produkt
VG	3/11	smitteområde
VG	3/11	spesial
DN	3/11	splitt
BT	3/11	symptom
DA	3/11	telt
AA	3/12	anslag
DB	3/12	arbeide
DB	3/12	bakrus
NL	3/12	bekymring
AA	3/12	forbehold
DA	3/12	handling
AP	3/12	isolat
DN	3/12	jus
VG	3/12	klausul
BT	3/12	klinikk
DB	3/12	kontor
DA	3/12	krav
DA	3/12	kø
DB	3/12	liknende
DB	3/12	lock
NL	3/12	mottak
BT	3/12	podd
DA	3/12	psyke
DA	3/12	senter
DB	3/12	smittesentere
DA	3/12	telefonoperatøre
DA	3/12	telte
